	best_parameter	f1	is_norm_dataset	remove_stop	dict	sim
1	{'C': 0.05}	0.6823529411764706	standard	True	dict1	0.95
2	{'C': 0.12}	0.6595744680851064	standard	True	dict2	0.95
3	{'C': 0.05}	0.6913580246913581	standard	True	dict3	0.95
4	{'C': 4}	0.6419753086419754	standard	True	dict4	0.95
5	{'C': 0.05}	0.6601941747572816	normalize	True	dict1	0.95
6	{'C': 0.05}	0.6999999999999998	normalize	True	dict2	0.95
7	{'C': 1}	0.7333333333333334	normalize	True	dict3	0.95
8	{'C': 0.05}	0.7157894736842105	normalize	True	dict4	0.95
9	{'C': 0.05}	0.6823529411764706	standard	False	dict1	0.95
10	{'C': 0.12}	0.6595744680851064	standard	False	dict2	0.95
11	{'C': 0.05}	0.6913580246913581	standard	False	dict3	0.95
12	{'C': 4}	0.6419753086419754	standard	False	dict4	0.95
13	{'C': 0.05}	0.6601941747572816	normalize	False	dict1	0.95
14	{'C': 0.05}	0.6999999999999998	normalize	False	dict2	0.95
15	{'C': 1}	0.7333333333333334	normalize	False	dict3	0.95
16	{'C': 0.25}	0.6947368421052632	normalize	False	dict4	0.95
