	best_parameter	f1	is_norm_dataset	remove_stop	dict	sim
1	{'C': 0.05}	0.6947368421052632	standard	True	dict1	0.8
2	{'C': 0.05}	0.6306306306306306	standard	True	dict2	0.8
3	{'C': 0.05}	0.6666666666666665	standard	True	dict3	0.8
4	{'C': 0.05}	0.6990291262135923	standard	True	dict4	0.8
5	{'C': 0.12}	0.7956989247311829	normalize	True	dict1	0.8
6	{'C': 0.12}	0.7954545454545454	normalize	True	dict2	0.8
7	{'C': 0.12}	0.8275862068965518	normalize	True	dict3	0.8
8	{'C': 0.5}	0.8181818181818182	normalize	True	dict4	0.8
9	{'C': 0.05}	0.6947368421052632	standard	False	dict1	0.8
10	{'C': 0.05}	0.6306306306306306	standard	False	dict2	0.8
11	{'C': 0.05}	0.6666666666666665	standard	False	dict3	0.8
12	{'C': 0.05}	0.7058823529411764	standard	False	dict4	0.8
13	{'C': 0.12}	0.7956989247311829	normalize	False	dict1	0.8
14	{'C': 0.12}	0.7954545454545454	normalize	False	dict2	0.8
15	{'C': 0.12}	0.8275862068965518	normalize	False	dict3	0.8
16	{'C': 0.5}	0.8181818181818182	normalize	False	dict4	0.8
